"name","Andorra","Australia","Austria","Belgium","Bulgaria","Canada","China","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Georgia","Germany","Gibraltar","Greece","Hong Kong","Hungary","Iceland","India","Ireland","Israel","Italy","Latvia","Liechtenstein","Lithuania","Luxembourg","Malta","Monaco","Netherlands","New Zealand","Norway","Poland","Portugal","Romania","San Marino","Singapore","Slovakia","Slovenia","South Africa","Spain","Sweden","Switzerland","Turkey","United Kingdom of Great Britain and Northern Ireland","United States of America"
"Tanzania, United Republic of",,1,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,5,
"Thailand",,3,,,,1,,,,,,1,1,1,,9,,,4,2,,7,,,3,,,,,,,3,,,1,,1,,3,,,,1,4,1,1,14,12
"Timor-Leste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
"Togo",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Tonga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
"Trinidad and Tobago",,1,,,,,,,,,,,,,,,,,1,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,4,2
"Tunisia",,,,,,,,,,,,,,1,,3,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,3
"Turkey",,17,15,10,9,14,,,4,6,1,36,1,27,,55,,8,,17,,101,8,,6,8,,2,2,,,43,4,2,31,8,5,,2,1,,,41,7,7,147,203,197
"Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Turks and Caicos Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Uganda",,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,4,1
"Ukraine",,1,,,2,2,,1,1,4,,2,,2,1,6,,,1,,,5,,,3,2,,,,1,,3,2,,23,1,2,,,,,,2,,,1,21,13
"United Arab Emirates",,11,,1,3,5,,,,1,1,2,,12,,5,,1,2,2,,46,2,,1,,,,,,1,4,4,3,5,4,2,,2,,,,8,1,3,4,45,8
"United Kingdom",2,10147,2060,2308,2279,1792,76,431,1105,3520,1491,2149,1160,20136,83,13345,30,3456,679,16957,45,27879,7530,1,8864,1623,8,884,222,821,43,6484,3119,985,10473,6976,4160,,719,4278,1447,748,36275,2484,1976,1042,34674,23387
